objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,ecommons.jpg,,,eCommons,,1929,"Open-access, sustainable, and secure resource created to preserve and provide access to research, scholarship, and creative works created by the university community for the benefit of Loyola students, faculty, staff, and the general public. Includes faculty scholarship, peer reviewed journals, digitized theses and dissertations, and yearbooks.",Loyola University Chicago; eCommons; open access; repository; scholarship,"Chicago, Illinois",41.88194444,-87.62777778,,http://ecommons.luc.edu/,Documents,image/jpeg,eng,,https://creativecommons.org/licenses/by-nc-nd/3.0/
coll002,digital-collections.jpg,,,Loyola University Chicago Digital Collections,,1599,Collections of digitized and born-digital materials held by the Loyola University Chicago Libraries.,Loyola University Chicago; digital collections,"Chicago, Illinois",41.88194444,-87.62777778,Loyola University Chicago Archives and Special Collections; Women and Leadership Archives,https://luc.access.preservica.com/,Documents; Books; Photographs; Engravings,image/jpeg,eng; lat; fra; spa; deu; ita; por,,http://rightsstatements.org/vocab/InC-NC/1.0/
coll003,digital-special-collections.jpg,,,Loyola University Chicago Digital Special Collections,,1565,A variety of collections and exhibits running on the Omeka platform.,Loyola University Chicago; digital collections; exhibits,"Chicago, Illinois",41.88194444,-87.62777778,Loyola University Chicago Archives and Special Collections; Women and Leadership Archives,https://specialcollections.luc.edu/,Documents; Photographs; Pen and Ink Drawings; Oral Histories,image/jpeg,eng; lat; fra; spa; ita,,http://rightsstatements.org/vocab/InC-NC/1.0/
coll004,loyola-university-chicago-presidents.jpg,,,Loyola University Chicago Presidents,"Young, Kathy; Monaghan, Tyler",1870,An exhibit detailing the history of the twenty-four Presidents (23 Jesuits and 1 layperson) who have guided Loyola University Chicago since its founding in 1870 as St. Ignatius College.,Loyola University Chicago; presidents; Jesuits; ,"Chicago, Illinois",41.88194444,-87.62777778,Loyola University Chicago Archives and Special Collections,http://libapps.luc.edu/digitalexhibits/s/loyolas-presidents,Photographs,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/
coll005,loyola-timeline-1870-2015.jpg,,,Loyola Timeline 1870-2015,"Young, Kathy; Barbuschak, Chris; Howdeshell, Ashley",1870,"A historical timeline of Loyola University of Chicago 1870-2015. This timeline is based upon “Loyola University of Chicago: The First 110 Years” by Robert C. Hartnett, S.J., and Richard M. Menges; “One Hundred Years of Knowledge in the Service of Man”; “Highlights of the Development of Loyola University of Chicago, 1870-1977” by Robert C. Hartnett, S.J.; “Chronology of Loyola University of Chicago”; and “Loyola at 70” and an unpublished manuscript history of Loyola University by Joseph Roubik, S.J.",Loyola University Chicago; history,"Chicago, Illinois",41.88194444,-87.62777778,Loyola University Chicago University Archives and Special Collections,http://specialcollections.luc.edu/exhibits/show/luctime,Photographs,image/jpeg,eng,Consult archivist for information.,http://rightsstatements.org/vocab/InC-NC/1.0/
coll006,then-and-now-150-years-loyola-university-chicago.jpg,,,Then and Now: 150 Years at Loyola University Chicago ,,1870,"For the past 150 years, Loyola University Chicago has been a vital part of Chicago’s educational world. Combined with the story of its now-affiliated neighbor from 1930-1991, Mundelein College, Loyola’s history speaks to the broader history of Catholic higher education, the college experience, and Chicago. Displays some of that history through the themes of social justice and faith, student life, and Loyola’s multiple campuses.",Loyola University Chicago; Mundelein College; history; social justice; faith; student life,"Chicago, Illinois",41.88194444,-87.62777778,Loyola University Chicago Archives and Special Collections; Women and Leadership Archives,http://libapps.luc.edu/loyola-150/s/then-and-now/page/home,Photographs,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/
coll007,hidden-loyola.jpg,,,Hidden Loyola,"Young, Kathy; Howdeshell, Ashley",1982,"Exhibit based on the famous yearly tour of hidden architectural treasures at the Lake Shore Campus given by Michael Grace, S.J., the images in this exhibit highlight the great architecture of Loyola and how the campus has been transformed over the years.",Loyola University Chicago; Lake Shore Campus; architecture,"Chicago, Illinois",41.88194444,-87.62777778,Loyola University Chicago University Archives and Special Collections,http://specialcollections.luc.edu/exhibits/show/hidden-loyola,Photographs,image/jpeg,eng,Consult archivist for information.,http://rightsstatements.org/vocab/InC-NC/1.0/
coll008,loyola-university-chicago-photographs.jpg,,,Loyola University Chicago Photographs,,1895,"Images documenting the people, places, and events at Loyola Chicago.",Loyola University Chicago; Lake Shore Campus; Water Tower Campus; Rome Center; buildings; students; faculty,"Chicago, Illinois",41.88194444,-87.62777778,"Loyola University Chicago Photograph Collection, Loyola University Chicago University Archives and Special Collections",https://luc.access.preservica.com/uncategorized/collection_f6bfa952-29ba-4230-ae06-210b9906b7e3/,Photographs,image/jpeg,eng,Contact Loyola University Chicago Archives & Special Collections for permission to copy or publish.,http://rightsstatements.org/vocab/InC-NC/1.0/
coll009,loyola-university-yearbooks.jpg,,,Loyola University Yearbooks,,1924,"The Loyolan, Loyola’s yearbook, was first published in 1924 and remained in publication until 1986. Primarily includes information about all the colleges and schools of Loyola, however, for some years the College of Commerce (now the Quinlan School of Business), the School of Medicine, and the Chicago College of Dental Surgery have separate yearbooks.",Loyola University Chicago; The Loyolan; yearbook; student publications,"Chicago, Illinois",41.88194444,-87.62777778,Loyola University Chicago University Archives and Special Collections,https://ecommons.luc.edu/loyolan/,Books,image/jpeg,eng,,https://creativecommons.org/licenses/by-nc-nd/3.0/
coll010,loyola-news-and-loyola-phoenix.jpg,,,Loyola News and Loyola Phoenix,,1918,Loyola’s student newspaper was established in 1924. It ran under the name the Loyola News until 1969. The name was changed to the Loyola Phoenix in 1970.,Loyola University Chicago; Loyola News; newspaper; student publications,"Chicago, Illinois",41.88194444,-87.62777778,Loyola University Chicago University Archives and Special Collections,https://luc.access.preservica.com/uncategorized/collection_be933d80-3ae8-45af-ae3a-d92909ef9461/,Newspapers,image/jpeg,eng,Copyrighted by Loyola University Chicago. Contact Loyola University Chicago Archives & Special Collections for permission to copy or publish.,http://rightsstatements.org/vocab/InC-NC/1.0/
coll011,loyola-theses-and-dissserations.jpg,,,Loyola Theses and Dissertations  ,,1929,"Digitized theses and dissertations from masters and doctoral students at Loyola starting in 1929 and continuing through the mid-90s, plus current documents dating to 2019.",Loyola University Chicago; theses; dissertations,"Chicago, Illinois",41.88194444,-87.62777778,,https://ecommons.luc.edu/td/,Documents,image/jpeg,eng,,https://creativecommons.org/licenses/by-nc-nd/3.0/
coll012,loyola-course-catalogs.jpg,,,Loyola Course Catalogs,,1870,"Course catalogs and bulletins of St. Ignatius College and Loyola University Chicago from 1870 to 2002. This collection includes catalogs for the College of Arts & Sciences, School of Social Work, Stritch School of Medicine, Niehoff School of Nursing, Chicago College of Dental Surgery, School of Business Administration, School of Education, Institute of Pastoral Studies, the Graduate School, etc.",Loyola University Chicago; St. Ignatius College; course catalog,"Chicago, Illinois",41.88194444,-87.62777778,Loyola University Chicago University Archives and Special Collections,https://luc.access.preservica.com/uncategorized/collection_c796ea6e-50c6-4b96-809c-5d9755561581/,Documents,image/jpeg,eng,Contact Loyola University Chicago Archives & Special Collections for permission to copy or publish.,http://rightsstatements.org/vocab/InC-NC/1.0/
coll013,mundelein-foundations-1929-1931.jpg,,,"Mundelein Foundations, 1929-1931 ",,1929,The Sisters of Charity of the Blessed Virgin Mary (BVMs) founded Mundelein College in answer to George Cardinal Mundelein’s call for a Catholic college for women in Chicago. The college opened its doors to its first students in 1930 as the world’s first self-contained skyscraper college for women.,Mundelein College; construction; architecture,"Chicago, Illinois",41.88194444,-87.62777778,Women and Leadership Archives,https://luc.access.preservica.com/uncategorized/SO_aa298d09-fa47-492f-8cca-c59f37625a9d/,Documents; Photographs,image/jpeg,eng,"This image is issued by the Women and Leadership Archives. Use of the image requires written permission from the Director of the Women and Leadership Archives. It may not be sold or redistributed, copied or distributed as a photograph, electronic file, or any other media. The image should not be significantly altered through conventional or electronic means. Images altered beyond standard cropping and resizing require further negotiation with the Director. The user is responsible for all issues of copyright. Please Credit: Women and Leadership Archives, Loyola University Chicago.",http://rightsstatements.org/vocab/InC-NC/1.0/
coll014,mundelein-yearbooks.jpg,,,Mundelein Yearbooks,,1931,"The Mundelein College Yearbook Collection contains all eight of the yearbooks produced over the life span of the college. The years covered include 1931, 1932, 1967, 1968, 1969, 1971, 1972, and 1985.",Mundelein College; yearbook; student publications,"Chicago, Illinois",41.88194444,-87.62777778,Women and Leadership Archives,https://luc.access.preservica.com/uncategorized/collection_a6d06758-1117-4dd3-a05b-073a39ad165b/,Books,image/jpeg,eng,"This image is issued by the Women and Leadership Archives. Use of the image requires written permission from the Director of the Women and Leadership Archives. It may not besold or redistributed, copied or distributed as a photograph, electronic file, or any other media. The image should not be significantly altered through conventional or electronic means. Images altered beyond standard cropping and resizing require further negotiation with the Director. The user is responsible for all issues of copyright. Please Credit: Women and Leadership Archives, Loyola University Chicago.",http://rightsstatements.org/vocab/InC-NC/1.0/
coll015,activist-mundelein-civic-engagement-20th-century-womens-college.jpg,,,Activist Mundelein: Civic Engagement at a 20th Century Women’s College,"Cullen, Anne E.; Ippen, William",1941,"This exhibit traces the history of student activism at Mundelein College from the 1940s through the early 1970s. In particular, the exhibit shows the ways in which students took part in the Antiwar and Civil Rights Movements, which eventually came to a head in May 1970.",Mundelein College; history; activism; antiwar; Civil Rights Movement,"Chicago, Illinois",41.88194444,-87.62777778,Women and Leadership Archives,http://specialcollections.luc.edu/exhibits/show/activist-mundelein--student-en,Photographs; Newspapers; Oral Histories,image/jpeg,eng,"This image is issued by the Women and Leadership Archives. Use of the image requires written permission from the Director of the Women and Leadership Archives. It may not be sold or redistributed, copied or distributed as a photograph, electronic file, or any other media. The image should not be significantly altered through conventional or electronic means. Images altered beyond standard cropping and resizing require further negotiation with the Director. The user is responsible for all issues of copyright. Please Credit: Women and Leadership Archives, Loyola University Chicago.",http://rightsstatements.org/vocab/InC-NC/1.0/
coll016,voices-mundelein-media-portal.jpg,,,Voices from Mundelein: Media Portal ,"Ellstrand, Nathan; Clay, Janette",1996,The Loyola University Chicago (LUC) Women and Leadership Archives (WLA) Voices from Mundelein: Media Portal documents the experiences of members of the Mundelein College community during the institution’s operation between 1930 and 1991.,Mundelein College; Sisters of Charity of the Blessed Virgin Mary; students; faculty; activisim,"Chicago, Illinois",41.88194444,-87.62777778,Women and Leadership Archives,http://libapps.luc.edu/digitalexhibits/s/voices-from-mundelein/page/home,Oral Histories,image/jpeg,eng,"The materials contained on this portal are freely available for scholarship, or non-commercial research under the “fair use” provisions of US copyright law. Prior written permission is required for any use that exceeds “fair use” including publication, broadcast, for placing on another web site, or for any paid or commercial use. Contact wlarchives@luc.edu.",http://rightsstatements.org/vocab/InC-NC/1.0/
coll017,women-and-social-justice.jpg,,,Women and Social Justice ,,1960,"This collection focuses on the contributions of women through a variety of social justice activities in the 20th and 21st Centuries in the United States including women’s rights, civil rights, peace movements, workers’ rights, homelessness, poverty, business ethics, and healthcare reform.",social justice; activism; women's rights; Civil Rights Movement,"Chicago, Illinois",41.88194444,-87.62777778,Women and Leadership Archives,https://luc.access.preservica.com/uncategorized/SO_3f877598-4833-4801-89e7-5683f1ae5145/,Documents; Photographs,image/jpeg,eng,"This image is issued by the Women and Leadership Archives. Use of the image requires written permission from the Director of the Women and Leadership Archives. It may not be sold or redistributed, copied or distributed as a photograph, electronic file, or any other media. The image should not be significantly altered through conventional or electronic means. Images altered beyond standard cropping and resizing require further negotiation with the Director. The user is responsible for all issues of copyright. Please Credit: Women and Leadership Archives, Loyola University Chicago.",http://rightsstatements.org/vocab/InC-NC/1.0/
coll018,feminism-chicago-connie-kiosse-papers.jpg,,,Feminism in Chicago: The Connie Kiosse Papers,,1971,"This collection focuses on the Women’s Liberation Movement of the 1970s through highlighting documents from the Connie Kiosse Papers. Kiosse was an active member within Chicago’s Women’s Liberation movement throughout the 1970s and was among the founding members of The Feminist Voice, one of Chicago’s first feminist newspapers.",Connie Kiosse; feminism; activism; Women's Liberation Movement,"Chicago, Illinois",41.88194444,-87.62777778,Women and Leadership Archives,https://luc.access.preservica.com/uncategorized/SO_532da7e5-a699-4596-a402-1481886bd760/,Photographs; Pen and Ink Drawings; Periodicals; Political Buttons; Fliers,image/jpeg,eng,"This image is issued by the Women and Leadership Archives. Use of the image requires written permission from the Director of the Women and Leadership Archives. It may not be sold or redistributed, copied or distributed as a photograph, electronic file, or any other media. The image should not be significantly altered through conventional or electronic means. Images altered beyond standard cropping and resizing require further negotiation with the Director. The user is responsible for all issues of copyright. Please Credit: Women and Leadership Archives, Loyola University Chicago.",http://rightsstatements.org/vocab/InC-NC/1.0/
coll019,mercedes-mccambridge-actress-activist.jpg,,,Mercedes McCambridge: Actress & Activist ,,1935,"Mercedes McCambridge pursued careers in radio, theater, and film and in 1945 won an Academy Award and two Golden Globe Awards for her portrayal of Sadie Burke in the feature film All the Kings Men.",Mercedes McCambridge; actress; theater; film,"Los Angeles, California; Chicago, Illinois; New York City, New York",34.05223,-118.24368,Women and Leadership Archives,https://luc.access.preservica.com/uncategorized/SO_df709ec7-79ff-4545-9fbc-9bdb76e85b4d/,Newspapers; Photographs; Letters; Film Stills,image/jpeg,eng,"This image is issued by the Women and Leadership Archives. Use of this image requires written permission from the Director of the Women and Leadership Archives. It may not be sold or redistributed, copied or distributed as a photograph, electronic file, or any other media. This image should not be significantly altered through conventional or electronic means. Images altered beyond standard cropping and resizing require further negotiation with the Director. The user is responsible for all issues of copyright. Please Credit: Women and Leadership Archives, Loyola University Chicago. Please contact WLArchives@luc.edu with any questions or for ordering information.",http://rightsstatements.org/vocab/InC-NC/1.0/
